spots,longtitude,latitude,datetime
Arts & Crafts Store,40.71981038,-74.00258103,Tue Apr 03 18:00:09 +0800 2012
Bridge,40.60679958,-74.04416981,Tue Apr 03 18:00:25 +0800 2012
Home (private),40.71616168,-73.88307006,Tue Apr 03 18:02:24 +0800 2012
Medical Center,40.7451638,-73.98251878,Tue Apr 03 18:02:41 +0800 2012
Office,40.7514116,-73.97994108,Tue Apr 03 19:00:31 +0800 2012
Office,40.75539132,-73.97425915,Tue Apr 03 19:01:16 +0800 2012
College Academic Building,40.7383284,-74.17913158,Tue Apr 03 19:01:19 +0800 2012
Ice Cream Shop,40.725891,-73.79143081,Tue Apr 03 19:01:28 +0800 2012
Food & Drink Shop,40.83162209,-74.13679361,Tue Apr 03 19:01:40 +0800 2012
Sandwich Place,40.726045,-73.79091154,Tue Apr 03 19:03:16 +0800 2012
American Restaurant,40.71528089,-74.03639537,Tue Apr 03 19:03:38 +0800 2012
American Restaurant,40.75821277,-73.98682594,Tue Apr 03 19:03:47 +0800 2012
Tea Room,40.76720039,-73.98148298,Mon Oct 08 20:10:36 +0800 2012
General Travel,40.82641025,-73.95053029,Mon Oct 08 20:10:39 +0800 2012
Coffee Shop,40.72795461,-73.99326138,Mon Oct 08 20:11:11 +0800 2012
Scenic Lookout,40.8274018,-73.9518799,Mon Oct 08 20:11:27 +0800 2012
Rental Car Location,40.689888,-74.187648,Mon Oct 08 20:17:46 +0800 2012
Outdoors & Recreation,40.879797,-74.10825,Mon Oct 08 20:23:10 +0800 2012
City,40.94269411,-73.99635315,Mon Oct 08 20:23:52 +0800 2012
Home (private),40.94175915,-74.01238511,Mon Oct 08 20:24:00 +0800 2012
Gym / Fitness Center,40.72112538,-73.84708961,Wed Dec 19 11:56:10 +0800 2012
Coffee Shop,40.97215437,-73.96090508,Wed Dec 19 11:58:29 +0800 2012
Gym / Fitness Center,40.75303121,-73.98586388,Wed Dec 19 11:59:09 +0800 2012
Gym / Fitness Center,40.71601683,-74.01281261,Wed Dec 19 11:59:49 +0800 2012
Neighborhood,40.70288998,-73.79621019,Wed Dec 19 12:00:57 +0800 2012
Subway,40.81807001,-73.91209137,Wed Dec 19 12:03:23 +0800 2012
City,40.94269411,-73.99635315,Mon Oct 08 20:23:52 +0800 2012
Home (private),40.94175915,-74.01238511,Mon Oct 08 20:24:00 +0800 2012
Gym / Fitness Center,40.72112538,-73.84708961,Wed Dec 19 11:56:10 +0800 2012
Coffee Shop,40.97215437,-73.96090508,Wed Dec 19 11:58:29 +0800 2012
Gym / Fitness Center,40.75303121,-73.98586388,Wed Dec 19 11:59:09 +0800 2012
Gym / Fitness Center,40.71601683,-74.01281261,Wed Dec 19 11:59:49 +0800 2012
Neighborhood,40.70288998,-73.79621019,Wed Dec 19 12:00:57 +0800 2012
Subway,40.81807001,-73.91209137,Wed Dec 19 12:03:23 +0800 2012
Home (private),40.85040529,-73.71836391,Wed Dec 19 12:05:46 +0800 2012
Arts & Crafts Store,40.71981038,-74.00258103,Tue Apr 03 18:00:09 +0800 2012
Bridge,40.60679958,-74.04416981,Tue Apr 03 18:00:25 +0800 2012
Home (private),40.71616168,-73.88307006,Tue Apr 03 18:02:24 +0800 2012
Home (private),40.85040529,-73.71836391,Wed Dec 19 12:05:46 +0800 2012
Arts & Crafts Store,40.71981038,-74.00258103,Tue Apr 03 18:00:09 +0800 2012
Bridge,40.60679958,-74.04416981,Tue Apr 03 18:00:25 +0800 2012
Home (private),40.71616168,-73.88307006,Tue Apr 03 18:02:24 +0800 2012
Medical Center,40.7451638,-73.98251878,Tue Apr 03 18:02:41 +0800 2012
Office,40.7514116,-73.97994108,Tue Apr 03 19:00:31 +0800 2012
Office,40.75539132,-73.97425915,Tue Apr 03 19:01:16 +0800 2012
College Academic Building,40.7383284,-74.17913158,Tue Apr 03 19:01:19 +0800 2012
Ice Cream Shop,40.725891,-73.79143081,Tue Apr 03 19:01:28 +0800 2012
Food & Drink Shop,40.83162209,-74.13679361,Tue Apr 03 19:01:40 +0800 2012
Sandwich Place,40.726045,-73.79091154,Tue Apr 03 19:03:16 +0800 2012
American Restaurant,40.71528089,-74.03639537,Tue Apr 03 19:03:38 +0800 2012
American Restaurant,40.75821277,-73.98682594,Tue Apr 03 19:03:47 +0800 2012
Airport,40.64508936,-73.78452301,Wed Dec 19 12:06:05 +0800 2012
Post Office,40.7415589,-73.9988637,Wed Jun 27 13:11:49 +0800 2012
Furniture / Home Store,40.76266835,-73.9686574,Wed Jun 27 13:12:19 +0800 2012
Coffee Shop,40.727612,-74.007306,Wed Jun 27 13:12:23 +0800 2012
Office,40.75005298,-73.97360802,Wed Jun 27 13:13:18 +0800 2012
Department Store,40.6607191,-74.10746446,Wed Jun 27 13:13:21 +0800 2012
Deli / Bodega,40.79437893,-73.9488319,Wed Jun 27 13:13:51 +0800 2012
Neighborhood,40.7162328,-73.85018349,Wed Jun 27 13:13:53 +0800 2012
Bus Station,40.7572213,-73.99154663,Wed Jun 27 13:14:26 +0800 2012
Home (private),40.76741096,-73.96537147,Sun Sept 09 21:17:21 +0800 2012
Gym / Fitness Center,40.76259364,-73.9660631,Sun Sept 09 21:19:24 +0800 2012
Arts & Crafts Store,40.75245876,-73.9097929,Sun Sept 09 21:19:56 +0800 2012
City,40.94269411,-73.99635315,Mon Oct 08 20:23:52 +0800 2012
Home (private),40.94175915,-74.01238511,Mon Oct 08 20:24:00 +0800 2012
Gym / Fitness Center,40.72112538,-73.84708961,Wed Dec 19 11:56:10 +0800 2012
Coffee Shop,40.97215437,-73.96090508,Wed Dec 19 11:58:29 +0800 2012
Gym / Fitness Center,40.75303121,-73.98586388,Wed Dec 19 11:59:09 +0800 2012
Gym / Fitness Center,40.71601683,-74.01281261,Wed Dec 19 11:59:49 +0800 2012
Neighborhood,40.70288998,-73.79621019,Wed Dec 19 12:00:57 +0800 2012
Subway,40.81807001,-73.91209137,Wed Dec 19 12:03:23 +0800 2012
Home (private),40.85040529,-73.71836391,Wed Dec 19 12:05:46 +0800 2012
Arts & Crafts Store,40.71981038,-74.00258103,Tue Apr 03 18:00:09 +0800 2012
Bridge,40.60679958,-74.04416981,Tue Apr 03 18:00:25 +0800 2012
Home (private),40.71616168,-73.88307006,Tue Apr 03 18:02:24 +0800 2012
Clothing Store,40.75096328,-73.99081707,Sun Sept 09 21:21:22 +0800 2012
Deli / Bodega,40.79437893,-73.9488319,Wed Jun 27 13:13:51 +0800 2012
Neighborhood,40.7162328,-73.85018349,Wed Jun 27 13:13:53 +0800 2012
Bus Station,40.7572213,-73.99154663,Wed Jun 27 13:14:26 +0800 2012
Home (private),40.76741096,-73.96537147,Sun Sept 09 21:17:21 +0800 2012
Gym / Fitness Center,40.76259364,-73.9660631,Sun Sept 09 21:19:24 +0800 2012
Arts & Crafts Store,40.75245876,-73.9097929,Sun Sept 09 21:19:56 +0800 2012
City,40.94269411,-73.99635315,Mon Oct 08 20:23:52 +0800 2012
Home (private),40.94175915,-74.01238511,Mon Oct 08 20:24:00 +0800 2012
Gym / Fitness Center,40.72112538,-73.84708961,Wed Dec 19 11:56:10 +0800 2012
Coffee Shop,40.97215437,-73.96090508,Wed Dec 19 11:58:29 +0800 2012
Sandwich Place,40.726045,-73.79091154,Tue Apr 03 19:03:16 +0800 2012
American Restaurant,40.71528089,-74.03639537,Tue Apr 03 19:03:38 +0800 2012
American Restaurant,40.75821277,-73.98682594,Tue Apr 03 19:03:47 +0800 2012
Tea Room,40.76720039,-73.98148298,Mon Oct 08 20:10:36 +0800 2012
