Id,Dates,DayOfWeek,PdDistrict,Address,X,Y
0,2015-05-10 23:59:00,Sunday,BAYVIEW,2000 Block of THOMAS AV,-122.39958770418998,37.7350510103906
1,2015-05-10 23:51:00,Sunday,BAYVIEW,3RD ST / REVERE AV,-122.391522893042,37.7324323864471
2,2015-05-10 23:50:00,Sunday,NORTHERN,2000 Block of GOUGH ST,-122.426001954961,37.7922124386284
3,2015-05-10 23:45:00,Sunday,INGLESIDE,4700 Block of MISSION ST,-122.437393972517,37.7214120621391
4,2015-05-10 23:45:00,Sunday,INGLESIDE,4700 Block of MISSION ST,-122.437393972517,37.7214120621391
5,2015-05-10 23:40:00,Sunday,TARAVAL,BROAD ST / CAPITOL AV,-122.45902362242902,37.7131719025215
252166,2011-12-20 07:40:00,Tuesday,MISSION,500 Block of FLORIDA ST,-122.411216405781,37.76232061593029
252167,2011-12-20 07:40:00,Tuesday,MISSION,500 Block of FLORIDA ST,-122.411216405781,37.76232061593029
252168,2011-12-20 07:40:00,Tuesday,MISSION,500 Block of FLORIDA ST,-122.411216405781,37.76232061593029
252169,2011-12-20 07:30:00,Tuesday,PARK,100 Block of BAKER ST,-122.44057416851801,37.7722636523127
252170,2011-12-20 07:25:00,Tuesday,BAYVIEW,INDUSTRIAL ST / LOOMIS ST,-122.405646994567,37.7383221869053
252171,2011-12-20 07:07:00,Tuesday,NORTHERN,1500 Block of CALIFORNIA ST,-122.419866693934,37.7906269100308
252172,2011-12-20 07:07:00,Tuesday,NORTHERN,1500 Block of CALIFORNIA ST,-122.419866693934,37.7906269100308
252173,2011-12-20 07:07:00,Tuesday,NORTHERN,1500 Block of CALIFORNIA ST,-122.419866693934,37.7906269
450675,2009-01-16 17:25:00,Friday,SOUTHERN,0 Block of 6TH ST,-122.40950430935,37.781526271747
450676,2009-01-16 17:15:00,Friday,PARK,IRVING ST / 7TH AV,-122.46417372944299,37.7641301468372
450677,2009-01-16 17:15:00,Friday,TARAVAL,1200 Block of 16TH AV,-122.474047018168,37.7646267570167
450678,2009-01-16 17:09:00,Friday,INGLESIDE,300 Block of 29TH ST,-122.427803025793,37.7436859477036
450679,2009-01-16 17:01:00,Friday,TENDERLOIN,100 Block of TURK ST,-122.411593095704,37.783052951078204
450680,2009-01-16 17:00:00,Friday,NORTHERN,100 Block of SANCHEZ ST,-122.43114512586399,37.766392095012606
450681,2009-01-16 17:00:00,Friday,NORTHERN,300 Block of FULTON ST,-122.42253647830601,37.7787958771466
626890,2006-07-08 12:00:00,Saturday,PARK,1500 Block of 5TH AV,-122.46102543534501,37.7599225690097
626891,2006-07-08 12:00:00,Saturday,TARAVAL,41ST AV / SLOAT BL,-122.499194862709,37.7343107546291
626892,2006-07-08 12:00:00,Saturday,TARAVAL,2700 Block of SLOAT BL,-122.504193680077,37.7353239206711
626893,2006-07-08 12:00:00,Saturday,INGLESIDE,200 Block of BLYTHDALE AV,-122.42055675144199,37.7108945814914
626894,2006-07-08 12:00:00,Saturday,CENTRAL,700 Block of POST ST,-122.41417943719,37.78750248320
782650,2004-05-05 21:30:00,Wednesday,TARAVAL,200 Block of MAGELLAN AV,-122.460859173078,37.747073264307396
782651,2004-05-05 21:30:00,Wednesday,TENDERLOIN,400 Block of EDDY ST,-122.41506687647,37.7835634796332
782652,2004-05-05 21:30:00,Wednesday,PARK,CENTRAL AV / TURK ST,-122.44534782842699,37.7788362914321
782653,2004-05-05 21:25:00,Wednesday,TARAVAL,1200 Block of IRVING ST,-122.47114555295,37.7638796121694
782654,2004-05-05 21:16:00,Wednesday,TENDERLOIN,100 Block of EDDY ST,-122.410157073911,37.7842
884248,2003-01-01 00:01:00,Wednesday,CENTRAL,400 Block of BROADWAY ST,-122.405065483077,37.7980134745487
884249,2003-01-01 00:01:00,Wednesday,CENTRAL,800 Block of PACIFIC AV,-122.409061067118,37.796678663754705
884250,2003-01-01 00:01:00,Wednesday,SOUTHERN,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
884251,2003-01-01 00:01:00,Wednesday,MISSION,2400 Block of MARIPOSA ST,-122.40780766013201,37.7630994299538
884252,2003-01-01 00:01:00,Wednesday,INGLESIDE,400 Block of MONTEREY BL,-122.4454660739,37.731460301956396
884253,2003-01-01 00:01:00,Wednesday,CENTRAL,400 Block of GEARY ST,-122.41072162587,37.787096649566294
884254,2003-01-01 00:01:00,Wednesday,CENTRAL,1400 Block of CALIFORNIA ST,-122.418239272625,37.790933231336396
884255,2003-01-01 00:01:00,Wednesday,INGLESIDE,200 Block of PRECITA AV,-122.41418980993299,37.7473189471178
884256,2003-01-01 00:01:00,Wednesday,MISSION,1800 Block of 15TH ST,-122.42586404606199,37.7662536102334
