spots,longtitude,latitude,datetime
Bridge,40.60679958,-74.04416981,Tue Apr 03 18:00:25 +0800 2012
Home (private),40.71616168,-73.88307006,Tue Apr 03 18:02:24 +0800 2012
Medical Center,40.7451638,-73.98251878,Tue Apr 03 18:02:41 +0800 2012
Food Truck,40.74010383,-73.98965836,Tue Apr 03 18:03:00 +0800 2012
Food & Drink Shop,40.69042712,-73.95468678,Tue Apr 03 18:04:00 +0800 2012
Coffee Shop,40.75159143,-73.9741214,Tue Apr 03 18:04:38 +0800 2012
Bus Station,40.77942173,-73.95534113,Tue Apr 03 18:04:42 +0800 2012
Home (private),40.61915107,-74.0358876,Tue Apr 03 18:06:18 +0800 2012
Bank,40.61900594,-73.99037473,Tue Apr 03 18:06:19 +0800 2012
Gastropub,40.74348254,-73.994009,Tue Apr 03 18:07:15 +0800 2012
Electronics Store,40.74260751,-73.99270535,Tue Apr 03 18:08:57 +0800 2012
Medical Center,40.71976227,-74.250014,Tue Apr 03 18:09:06 +0800 2012
Mobile Phone Shop,40.74119055,-73.9896631,Tue Apr 03 18:09:29 +0800 2012
Cafe,40.7045885,-74.00963933,Tue Apr 03 18:09:59 +0800 2012
Automotive Shop,40.8619815,-74.04790454,Tue Apr 03 18:10:04 +0800 2012
Food & Drink Shop,40.82678954,-73.94950924,Tue Apr 03 18:10:39 +0800 2012
Restaurant,40.75527488,-73.97880614,Tue Apr 03 18:11:04 +0800 2012
Coffee Shop,40.906627,-73.777774,Tue Apr 03 18:11:16 +0800 2012
American Restaurant,40.73067679,-74.0656718,Tue Apr 03 18:11:35 +0800 2012
Government Building,40.88302033,-74.07587528,Tue Apr 03 18:12:09 +0800 2012
Coffee Shop,40.74281621,-74.00040611,Tue Apr 03 18:12:27 +0800 2012
Airport,40.64531729,-73.77383709,Tue Apr 03 18:12:42 +0800 2012
Ferry,40.76067265,-74.00367709,Tue Apr 03 18:13:12 +0800 2012
Office,40.736676,-73.98891,Tue Apr 03 18:13:21 +0800 2012
Other Great Outdoors,40.79059947,-73.98023378,Tue Apr 03 18:14:03 +0800 2012
Building,40.75230661,-73.97185432,Tue Apr 03 18:14:21 +0800 2012
Office,40.65553514,-74.00862938,Tue Apr 03 18:14:44 +0800 2012
Food & Drink Shop,40.74186151,-73.98943363,Tue Apr 03 18:15:05 +0800 2012
Office,40.75094552,-74.00563392,Tue Apr 03 18:15:07 +0800 2012
Mexican Restaurant,40.74773817,-73.98519815,Tue Apr 03 18:15:33 +0800 2012
Music Venue,40.731698,-73.98922694,Tue Apr 03 18:16:09 +0800 2012
Subway,40.82650767,-73.95039082,Tue Apr 03 18:16:10 +0800 2012
Student Center,40.86283582,-74.19723988,Tue Apr 03 18:16:19 +0800 2012
Park,40.74218831,-73.98792419,Tue Apr 03 18:17:17 +0800 2012
Road,40.90105787,-74.15076256,Tue Apr 03 18:18:54 +0800 2012
Home (private),40.96324076,-74.0946311,Tue Apr 03 18:19:07 +0800 2012
Home (private),40.96324076,-74.0946311,Tue Apr 03 18:19:07 +0800 2012
Burger Joint,40.7414075,-73.98843795,Tue Apr 03 18:19:21 +0800 2012
Subway,40.69743322,-73.9930433,Tue Apr 03 18:19:25 +0800 2012
Bank,40.77807781,-73.95449162,Tue Apr 03 18:19:28 +0800 2012
Office,40.72817168,-74.00752187,Tue Apr 03 18:21:27 +0800 2012
Sporting Goods Shop,40.77901409,-73.95403862,Tue Apr 03 18:21:33 +0800 2012
Pizza Place,40.77615805,-73.82361593,Tue Apr 03 18:23:40 +0800 2012
Jewelry Store,40.75062326,-73.99004187,Tue Apr 03 18:24:02 +0800 2012
Sandwich Place,40.68892999,-73.9956665,Tue Apr 03 18:24:38 +0800 2012
Coffee Shop,40.727612,-74.007306,Tue Apr 03 18:24:51 +0800 2012
Clothing Store,40.77843897,-73.95451458,Tue Apr 03 18:24:58 +0800 2012
Neighborhood,40.92431191,-73.9968883,Tue Apr 03 18:26:46 +0800 2012
Electronics Store,40.76391921,-73.97313996,Tue Apr 03 18:27:43 +0800 2012
Medical Center,40.786713,-74.175476,Tue Apr 03 18:31:32 +0800 2012
Medical Center,40.78690639,-74.17540497,Tue Apr 03 18:32:11 +0800 2012
Medical Center,40.88544,-74.13887,Tue Apr 03 18:32:27 +0800 2012
Bus Station,40.81721954,-73.94790173,Tue Apr 03 18:33:26 +0800 2012
Ice Cream Shop,40.80396498,-74.00513467,Tue Apr 03 18:33:29 +0800 2012
Soup Place,40.785679,-73.972834,Tue Apr 03 18:33:49 +0800 2012
Home (private),40.80204208,-74.00063278,Tue Apr 03 18:34:00 +0800 2012
College Academic Building,40.69684128,-73.98717238,Tue Apr 03 18:34:10 +0800 2012
Bank,40.61802636,-73.99167746,Tue Apr 03 18:34:55 +0800 2012
Food & Drink Shop,40.73971083,-73.98251798,Tue Apr 03 18:35:31 +0800 2012
Subway,40.7509958,-73.99068832,Tue Apr 03 18:36:56 +0800 2012
Department Store,40.75061379,-73.98856401,Tue Apr 03 18:37:12 +0800 2012
Playground,40.93253437,-74.00992625,Tue Apr 03 18:39:29 +0800 2012
Tattoo Parlor,40.7471092,-74.15280867,Tue Apr 03 18:39:34 +0800 2012
Mall,40.73405558,-73.87084723,Tue Apr 03 18:39:36 +0800 2012
Deli / Bodega,40.75110146,-73.98130059,Tue Apr 03 18:39:42 +0800 2012
Office,40.708515,-74.007282,Tue Apr 03 18:39:44 +0800 2012
College Academic Building,40.74358598,-74.17815694,Tue Apr 03 18:42:03 +0800 2012
Coffee Shop,40.76260087,-73.9660057,Tue Apr 03 18:42:25 +0800 2012
University,40.69541297,-73.98732159,Tue Apr 03 18:42:32 +0800 2012
Diner,40.67919,-73.995548,Tue Apr 03 18:43:53 +0800 2012
Bus Station,40.80463955,-73.93786213,Tue Apr 03 18:44:07 +0800 2012
Government Building,40.7015868,-73.95745343,Tue Apr 03 18:45:15 +0800 2012
University,40.74790921,-73.98380928,Tue Apr 03 18:46:30 +0800 2012
Music Store,40.830936,-74.20743204,Tue Apr 03 18:47:11 +0800 2012
Light Rail,40.71589126,-74.03416157,Tue Apr 03 18:47:23 +0800 2012
Salon / Barbershop,40.77536339,-73.955705,Tue Apr 03 18:48:57 +0800 2012
Student Center,40.86283582,-74.19723988,Tue Apr 03 18:49:59 +0800 2012
Mexican Restaurant,40.745245,-73.982692,Tue Apr 03 18:51:03 +0800 2012
General College & University,40.70473328,-73.98773789,Tue Apr 03 18:52:48 +0800 2012
Home (private),40.91220464,-74.01238511,Tue Apr 03 18:55:51 +0800 2012
Office,40.74697652,-73.98325259,Tue Apr 03 18:56:09 +0800 2012
Other Great Outdoors,40.91192343,-73.78237724,Tue Apr 03 18:57:40 +0800 2012
Neighborhood,40.75951305,-73.8314724,Tue Apr 03 18:57:46 +0800 2012
Animal Shelter,40.771046,-74.065758,Tue Apr 03 18:58:56 +0800 2012
Light Rail,40.72703111,-74.03484821,Tue Apr 03 19:00:04 +0800 2012
Office,40.7514116,-73.97994108,Tue Apr 03 19:00:31 +0800 2012
Office,40.75539132,-73.97425915,Tue Apr 03 19:01:16 +0800 2012
College Academic Building,40.7383284,-74.17913158,Tue Apr 03 19:01:19 +0800 2012
Ice Cream Shop,40.725891,-73.79143081,Tue Apr 03 19:01:28 +0800 2012
